Education_Sector,School_Name,School_Type,Local_Government_Area
Government,Wattle Park Primary School,Primary,whitehorse
Government,Murrabit Group School,Primary,gannawarra
Government,Preston West Primary School,Primary,darebin
Government,Thornbury Primary School,Primary,darebin
Government,Footscray West Primary School,Primary,maribyrnong
Government,Wandin North Primary School,Primary,yarra ranges
Government,Gardenvale Primary School,Primary,bayside
Government,Beaumaris Primary School,Primary,bayside
Government,Currawa Primary School,Primary,greater shepparton
Government,Echuca West Primary School,Primary,campaspe
Government,Cann River P-12 College,Pri/Sec,east gippsland
Government,Altona Primary School,Primary,hobsons bay
Government,Devon Meadows Primary School,Primary,casey
Government,Upper Ferntree Gully Primary School,Primary,knox
Government,Eildon Primary School,Primary,murrindindi
Government,Bittern Primary School,Primary,mornington peninsula
Government,Colbinabbin Primary School,Primary,campaspe
Government,Stanhope Primary School,Primary,campaspe
Government,Hurstbridge Primary School,Primary,nillumbik
Government,Coburg West Primary School,Primary,moreland
Government,Elwood Primary School,Primary,port phillip
Government,Mont Albert Primary School,Primary,whitehorse
Government,Dhurringile Primary School,Primary,greater shepparton
Government,Strathewen Primary School,Primary,nillumbik
Government,Don Valley Primary School,Primary,yarra ranges
Government,Reservoir Primary School,Primary,darebin
Government,Yallourn North Primary School,Primary,latrobe
Government,Toorloo Arm Primary School,Primary,east gippsland
Government,Girgarre Primary School,Primary,campaspe
Government,Yaapeet Primary School,Primary,yarriambiack
Government,Gladysdale Primary School,Primary,yarra ranges
Government,Mildura West Primary School,Primary,mildura
Government,Moonee Ponds Primary School,Primary,moonee valley
Government,Kingsville Primary School,Primary,maribyrnong
Government,Kallista Primary School,Primary,yarra ranges
Government,Essendon North Primary School,Primary,moonee valley
Government,Ascot Vale West Primary School,Primary,moonee valley
Government,Welton Primary School,Primary,campaspe
Government,Hartwell Primary School,Primary,boroondara
Government,Red Cliffs Primary School,Primary,mildura
Government,Wattle Glen Primary School,Primary,nillumbik
Government,Hampton Park Primary School,Primary,casey
Government,Colac West Primary School,Primary,colac-otway
Government,Ripponlea Primary School,Primary,glen eira
Government,Noojee Primary School,Primary,baw baw
Government,Montmorency Primary School,Primary,banyule
Government,Moriac Primary School,Primary,surf coast
Government,Ringwood North Primary School,Primary,maroondah
Government,Red Cliffs East Primary School,Primary,mildura
Government,Lloyd Street Primary School,Primary,stonnington
Government,Bayswater North Primary School,Primary,maroondah
Government,Westbreen Primary School,Primary,moreland
Government,Point Cook Prep - Year 9 College,Pri/Sec,wyndham
Government,Footscray North Primary School,Primary,maribyrnong
Government,Piangil Primary School,Primary,swan hill
Government,Airly Primary School,Primary,wellington
Government,Camberwell South Primary School,Primary,boroondara
Government,Parkdale Primary School,Primary,kingston
Government,Hughesdale Primary School,Primary,monash
Government,Westgarth Primary School,Primary,darebin
Government,Auburn South Primary School,Primary,boroondara
Government,Aspendale Primary School,Primary,kingston
Government,Eltham North Primary School,Primary,nillumbik
Government,Merrivale Primary School,Primary,warrnambool
Government,Dandenong West Primary School,Primary,greater dandenong
Government,Yarra Road Primary School,Primary,maroondah
Government,Aberfeldie Primary School,Primary,moonee valley
Government,Manifold Heights Primary School,Primary,greater geelong
Government,Nungurner Primary School,Primary,east gippsland
Government,Dingley Primary School,Primary,kingston
Government,Cardross Primary School,Primary,mildura
Government,Albion Primary School,Primary,brimbank
Government,Lemnos Primary School,Primary,greater shepparton
Government,Tarwin Lower Primary School,Primary,south gippsland
Government,Nepean Special School,Special,frankston
Government,Brunswick South West Primary School,Primary,moreland
Government,Bell Primary School,Primary,darebin
Government,Chatham Primary School,Primary,boroondara
Government,Caulfield South Primary School,Primary,glen eira
Government,Ashburton Primary School,Primary,boroondara
Government,Bentleigh West Primary School,Primary,glen eira
Government,Seaspray Primary School,Primary,wellington
Government,Anglesea Primary School,Primary,surf coast
Government,Briar Hill Primary School,Primary,banyule
Government,Zeerust Primary School,Primary,greater shepparton
Government,Mckinnon Primary School,Primary,glen eira
Government,Clayton South Primary School,Primary,kingston
Government,Ivanhoe East Primary School,Primary,banyule
Government,Cobains Primary School,Primary,wellington
Government,Mildura South Primary School,Primary,mildura
Government,Tate Street Primary School Geelong,Primary,greater geelong
Government,Brunswick North West Primary School,Primary,moreland
Government,Katandra West Primary School,Primary,greater shepparton
Government,Fleetwood Primary School,Primary,casey
Government,Sunnycliffs Primary School,Primary,mildura
Government,Sandringham East Primary School,Primary,bayside
Government,Seaholme Primary School,Primary,hobsons bay
Government,Somers Primary School,Primary,mornington peninsula
Government,Travancore School,Special,moonee valley
Government,Upwey Primary School,Primary,yarra ranges
Government,Coburg North Primary School,Primary,moreland
Government,Rosanna Primary School,Primary,banyule
Government,Wantirna South Primary School,Primary,knox
Government,Strathmore Primary School,Primary,moonee valley
Government,Balwyn North Primary School,Primary,boroondara
Government,Solway Primary School,Primary,boroondara
Government,Wangaratta West Primary School,Primary,wangaratta
Government,Mount Beauty Primary School,Primary,alpine
Government,Newlands Primary School,Primary,darebin
Government,Somers School Camp,Primary,mornington peninsula
Government,Newborough Primary School,Primary,latrobe
Government,Traralgon (Stockdale Road) Primary School,Primary,latrobe
Government,Gowrie Street Primary School Shepparton,Primary,greater shepparton
Government,Tootgarook Primary School,Primary,mornington peninsula
Government,Moe (South Street) Primary School,Primary,latrobe
Government,Roslyn Primary School,Primary,greater geelong
Government,Newport Gardens Primary School,Primary,hobsons bay
Government,St Georges Road Primary School Shepparton,Primary,greater shepparton
Government,Malvern Valley Primary School,Primary,stonnington
Government,Newborough East Primary School,Primary,latrobe
Government,Belmore School,Special,boroondara
Government,Croxton Special School,Special,darebin
Government,Tobruk Street Primary School - Morwell,Primary,latrobe
Government,Herne Hill Primary School,Primary,greater geelong
Government,Frankston East Primary School,Primary,frankston
Government,Selby Primary School,Primary,yarra ranges
Government,Reservoir East Primary School,Primary,darebin
Government,Tucker Road Bentleigh Primary School,Primary,glen eira
Government,Katunga Primary School,Primary,moira
Government,Ballarat North Primary School,Primary,ballarat
Government,Bandiana Primary School,Primary,wodonga
Government,Morwell Primary School,Primary,latrobe
Government,Greythorn Primary School,Primary,boroondara
Government,Warragul North Primary School,Primary,baw baw
Government,Horsham West and Haven Primary School,Primary,horsham
Government,Traralgon (Kosciuszko Street) Primary School,Primary,latrobe
Government,Traralgon (Liddiard Road) Primary School,Primary,latrobe
Government,Eastwood Primary School,Primary,maroondah
Government,Pascoe Vale South Primary School,Primary,moreland
Government,Yellingbo Primary School,Primary,yarra ranges
Government,Lalor Primary School,Primary,whittlesea
Government,Reservoir West Primary School,Primary,darebin
Government,Coatesville Primary School,Primary,glen eira
Government,Old Orchard Primary School,Primary,whitehorse
Government,Huntingdale Primary School,Primary,monash
Government,Box Hill North Primary School,Primary,whitehorse
Government,Ferntree Gully North Primary School,Primary,knox
Government,Ararat West Primary School,Primary,ararat
Government,Oak Park Primary School,Primary,moreland
Government,Dandenong North Primary School,Primary,greater dandenong
Government,Bairnsdale West Primary School,Primary,east gippsland
Government,Kalianna Special School,Special,greater bendigo
Government,Harrisfield Primary School,Primary,greater dandenong
Government,Pascoe Vale North Primary School,Primary,moreland
Government,Belle Vue Primary School,Primary,boroondara
Government,Oberon Primary School,Primary,greater geelong
Government,Moe Primary School,Primary,latrobe
Government,St Albans East Primary School,Primary,brimbank
Government,Bourchier Street Primary School Shepparton,Primary,greater shepparton
Government,Swan Hill North Primary School,Primary,swan hill
Government,Sunshine Heights Primary School,Primary,brimbank
Government,Sunshine North Primary School,Primary,brimbank
Government,Banyule Primary School,Primary,banyule
Government,Portland South Primary School,Primary,glenelg
Government,Rosanna Golf Links Primary School,Primary,banyule
Government,Cheltenham East Primary School,Primary,kingston
Government,Cranbourne South Primary School,Primary,casey
Government,Yarrunga Primary School,Primary,wangaratta
Government,Ballarat Specialist School,Special,ballarat
Government,Preston North East Primary School,Primary,darebin
Government,Orbost North Primary School,Primary,east gippsland
Government,Nelson Park School,Special,greater geelong
Government,Craigieburn Primary School,Primary,hume
Government,Warrnambool East Primary School,Primary,warrnambool
Government,Colac South West Primary School,Primary,colac-otway
Government,George Street Primary School - Hamilton,Primary,southern grampians
Government,Valkstone Primary School,Primary,glen eira
Government,Overport Primary School,Primary,frankston
Government,Wembley Primary School,Primary,maribyrnong
Government,Rosamond Special School,Special,maribyrnong
Government,Bonbeach Primary School,Primary,kingston
Government,Heatherhill Primary School,Primary,greater dandenong
Government,Beaumaris North Primary School,Primary,bayside
Government,Hamlyn Banks Primary School,Primary,greater geelong
Government,Yarraman Oaks Primary School,Primary,greater dandenong
Government,Mount Pleasant Road Nunawading Primary School,Primary,whitehorse
Government,Glenroy West Primary School,Primary,moreland
Government,Dandenong South Primary School,Primary,greater dandenong
Government,St Albans North Primary School,Primary,brimbank
Government,Avondale Primary School,Primary,moonee valley
Government,Beverley Hills Primary School,Primary,manningham
Government,Wodonga West Primary School,Primary,wodonga
Government,Frankston Heights Primary School,Primary,frankston
Government,Kerrimuir Primary School,Primary,whitehorse
Government,Heathmont East Primary School,Primary,maroondah
Government,Strathmore North Primary School,Primary,moonee valley
Government,Oakleigh South Primary School,Primary,monash
Government,Thomastown East Primary School,Primary,whittlesea
Government,Sussex Heights Primary School,Primary,monash
Government,East Bentleigh Primary School,Primary,glen eira
Government,Watsonia Primary School,Primary,banyule
Government,Parktone Primary School,Primary,kingston
Government,Antonio Park Primary School,Primary,whitehorse
Government,Kingsbury Primary School,Primary,darebin
Government,Katandra School,Special,glen eira
Government,Ardeer Primary School,Primary,brimbank
Government,Westall Primary School,Primary,kingston
Government,Tullamarine Primary School,Primary,hume
Government,Guthridge Primary School,Primary,wellington
Government,Park Orchards Primary School,Primary,manningham
Government,Albion North Primary School,Primary,brimbank
Government,Blackburn Lake Primary School,Primary,whitehorse
Government,Laburnum Primary School,Primary,whitehorse
Government,Rollins Primary School,Primary,greater geelong
Government,Heatherwood School,Special,manningham
Government,Bellaire Primary School,Primary,greater geelong
Government,Pinewood Primary School,Primary,monash
Government,Broadmeadows Primary School,Primary,hume
Government,Moomba Park Primary School,Primary,moreland
Government,Keilor Heights Primary School,Primary,moonee valley
Government,Ainslie Parklands Primary School,Primary,maroondah
Government,Parkmore Primary School,Primary,whitehorse
Government,Lara Primary School,Primary,greater geelong
Government,Mullum Primary School,Primary,maroondah
Government,Cranbourne Park Primary School,Primary,casey
Government,Viewbank Primary School,Primary,banyule
Government,Greenhills Primary School,Primary,banyule
Government,Upwey South Primary School,Primary,yarra ranges
Government,Simpson Primary School,Primary,corangamite
Government,Invergordon Primary School,Primary,moira
Government,Eltham East Primary School,Primary,nillumbik
Government,Belvedere Park Primary School,Primary,frankston
Government,Essex Heights Primary School,Primary,monash
Government,Mountain Gate Primary School,Primary,knox
Government,Fairhills Primary School,Primary,knox
Government,Boronia West Primary School,Primary,knox
Government,Southmoor Primary School,Primary,kingston
Government,Ringwood Heights Primary School,Primary,maroondah
Government,Glenroy Specialist School,Special,moreland
Government,Ruskin Park Primary School,Primary,maroondah
Government,Emerson School,Special,greater dandenong
Government,Fyans Park Primary School,Primary,greater geelong
Government,Karingal Primary School,Primary,frankston
Government,Mount View Primary School,Primary,monash
Government,Syndal South Primary School,Primary,monash
Government,Montmorency South Primary School,Primary,banyule
Government,Berendale School,Special,bayside
Government,Altona North Primary School,Primary,hobsons bay
Government,Burwood Heights Primary School,Primary,whitehorse
Government,Stawell West Primary School,Primary,northern grampians
Government,Watsonia Heights Primary School,Primary,banyule
Government,Forest Street Primary School,Primary,ballarat
Government,Pembroke Primary School,Primary,yarra ranges
Government,Mahogany Rise Primary School,Primary,frankston
Government,Wilmot Road Primary School Shepparton,Primary,greater shepparton
Government,Bundoora Primary School,Primary,banyule
Government,University Park Primary School,Primary,brimbank
Government,St Albans Heights Primary School,Primary,brimbank
Government,Kerang South Primary School,Primary,gannawarra
Government,Hume Valley School,Special,hume
Government,Mentone Park Primary School,Primary,kingston
Government,Donvale Primary School,Primary,manningham
Government,Bell Park North Primary School,Primary,greater geelong
Government,Boronia Heights Primary School,Primary,knox
Government,Glenallen School,Special,monash
Government,Churchill Primary School,Primary,latrobe
Government,Montpellier Primary School,Primary,greater geelong
Government,Bayswater South Primary School,Primary,knox
Government,Seaford North Primary School,Primary,frankston
Government,Morwell Park Primary School,Primary,latrobe
Government,Lalor East Primary School,Primary,whittlesea
Government,Jackson School,Special,brimbank
Government,Carlton Primary School,Primary,melbourne
Government,Oberon South Primary School,Primary,greater geelong
Government,Templestowe Valley Primary School,Primary,manningham
Government,Highvale Primary School,Primary,monash
Government,Watsonia North Primary School,Primary,banyule
Government,Wooranna Park Primary School,Primary,greater dandenong
Government,Knox Park Primary School,Primary,knox
Government,Birralee Primary School,Primary,manningham
Government,Echuca South Primary School,Primary,campaspe
Government,Ararat North Primary School,Primary,ararat
Government,Derinya Primary School,Primary,frankston
Government,Thomastown West Primary School,Primary,whittlesea
Government,Rowville Primary School,Primary,knox
Government,Mossfiel Primary School,Primary,wyndham
Government,Templestowe Heights Primary School,Primary,manningham
Government,Ballam Park Primary School,Primary,frankston
Government,Sunbury West Primary School,Primary,hume
Government,Gladstone Park Primary School,Primary,hume
Government,Manchester Primary School,Primary,yarra ranges
Government,Glendal Primary School,Primary,monash
Government,Bimbadeen Heights Primary School,Primary,yarra ranges
Government,Wattle View Primary School,Primary,knox
Government,Sherbourne Primary School,Primary,banyule
Government,Donburn Primary School,Primary,manningham
Government,Guthrie Street Primary School Shepparton,Primary,greater shepparton
Government,Araluen Primary School,Primary,wellington
Government,Royal Childrens Hospital Education Institute,Special,melbourne
Government,Vermont South Special School,Special,whitehorse
Government,Concord School,Special,banyule
Government,Deer Park West Primary School,Primary,brimbank
Government,Campbellfield Heights Primary School,Primary,hume
Government,Lalor North Primary School,Primary,whittlesea
Government,Melton West Primary School,Primary,melton
Government,Diamond Creek East Primary School,Primary,nillumbik
Government,Brandon Park Primary School,Primary,monash
Government,Bayswater West Primary School,Primary,knox
Government,Mornington Park Primary School,Primary,mornington peninsula
Government,Wodonga South Primary School,Primary,wodonga
Government,Aldercourt Primary School,Primary,frankston
Government,Richmond West Primary School,Primary,yarra
Government,Marlborough Primary School,Primary,maroondah
Government,Stevensville Primary School,Primary,brimbank
Government,Birmingham Primary School,Primary,yarra ranges
Government,Woodville Primary School,Primary,wyndham
Government,Glengala/Sunshine West Primary School,Primary,brimbank
Government,Karingal Heights Primary School,Primary,frankston
Government,Wallarano Primary School,Primary,greater dandenong
Government,Lilydale West Primary School,Primary,yarra ranges
Government,Mooroolbark East Primary School,Primary,yarra ranges
Government,Ardeer South Primary School,Primary,brimbank
Government,Gladesville Primary School,Primary,yarra ranges
Government,Debney Meadows Primary School,Primary,moonee valley
Government,Fountain Gate Primary School,Primary,casey
Government,Tinternvale Primary School,Primary,maroondah
Government,Grovedale West Primary School,Primary,greater geelong
Government,Baringa Special School,Special,latrobe
Government,Naranga Special School,Special,frankston
Government,Kent Park Primary School,Primary,knox
Government,Deer Park North Primary School,Primary,brimbank
Government,Rosewood Downs Primary School,Primary,greater dandenong
Government,Mooroopna Park Primary School,Primary,greater shepparton
Government,Coburn Primary School,Primary,melton
Government,Manorvale Primary School,Primary,wyndham
Government,Gladstone Views Primary School,Primary,hume
Government,Wheelers Hill Primary School,Primary,monash
Government,Ashwood School,Special,monash
Government,Broadmeadows Valley Primary School,Primary,hume
Government,Bulleen Heights School,Special,manningham
Government,Kingston Heath Primary School,Primary,kingston
Government,Andersons Creek Primary School,Primary,manningham
Government,Waverley Meadows Primary School,Primary,monash
Government,Kingswood Primary School,Primary,kingston
Government,Ascot Vale Special School,Special,moonee valley
Government,Camelot Rise Primary School,Primary,monash
Government,Livingstone Primary School,Primary,whitehorse
Government,Churchill North Primary School,Primary,latrobe
Government,St Albans Meadows Primary School,Primary,brimbank
Government,Silverton Primary School,Primary,greater dandenong
Government,Kalinda Primary School,Primary,maroondah
Government,Whittington Primary School,Primary,greater geelong
Government,Coldstream Primary School,Primary,yarra ranges
Government,Templestowe Park Primary School,Primary,manningham
Government,River Gum Primary School,Primary,casey
Government,Regency Park Primary School,Primary,knox
Government,Dorset Primary School,Primary,maroondah
Government,Eastbourne Primary School,Primary,mornington peninsula
Government,Thomastown Meadows Primary School,Primary,whittlesea
Government,Kingsley Park Primary School,Primary,frankston
Government,James Cook Primary School,Primary,casey
Government,Movelle Primary School,Primary,brimbank
Government,Mount Eliza North Primary School,Primary,mornington peninsula
Government,Melrose Primary School,Primary,wodonga
Government,Yarrabah School,Special,kingston
Government,Frankston Special Developmental School,Special,frankston
Government,Waratah Special Developmental School,Special,banyule
Government,Port Phillip Specialist School,Special,port phillip
Government,Cobram Special Developmental School,Special,moira
Government,Monash Special Developmental School,Special,monash
Government,Iramoo Primary School,Primary,wyndham
Government,Verney Road School,Special,greater shepparton
Government,Weeden Heights Primary School,Primary,whitehorse
Government,Mill Park Primary School,Primary,whittlesea
Government,Diamond Valley Special Developmental School,Special,nillumbik
Government,Melton Specialist School,Special,melton
Government,Springvale Park Special Developmental School,Special,greater dandenong
Government,Warringa Park School,Special,wyndham
Government,Serpell Primary School,Primary,manningham
Government,Mount Martha Primary School,Primary,mornington peninsula
Government,Altona Meadows Primary School,Primary,hobsons bay
Government,The Patch Primary School,Primary,yarra ranges
Government,Sale Specialist School,Special,wellington
Government,Jells Park Primary School,Primary,monash
Government,Albanvale Primary School,Primary,brimbank
Government,Kismet Park Primary School,Primary,hume
Government,Sovereign Hill School,Camp,ballarat
Government,Kunyung Primary School,Primary,mornington peninsula
Government,Apollo Parkways Primary School,Primary,nillumbik
Government,Mandama Primary School,Primary,greater geelong
Government,Bethal Primary School,Primary,hume
Government,Cranbourne West Primary School,Primary,casey
Government,Patterson Lakes Primary School,Primary,kingston
Government,Seaford Park Primary School,Primary,frankston
Government,Billanook Primary School,Primary,yarra ranges
Government,Chirnside Park Primary School,Primary,yarra ranges
Government,Bass Valley Primary School,Primary,bass coast
Government,Templeton Primary School,Primary,knox
Government,Sunbury Heights Primary School,Primary,hume
Government,Darley Primary School,Primary,moorabool
Government,Delacombe Primary School,Primary,ballarat
Government,Wallaroo Primary School,Primary,mornington peninsula
Government,Mossgiel Park Primary School,Primary,casey
Government,Wedge Park Primary School,Primary,melton
Government,Appin Park Primary School,Primary,wangaratta
Government,Croydon Special Developmental School,Special,maroondah
Government,Milgate Primary School,Primary,manningham
Government,Berwick Lodge Primary School,Primary,casey
Government,Furlong Park School For Deaf Children,Special,brimbank
Government,Sunbury And Macedon Ranges Specialist School,Special,hume
Government,Northern School For Autism,Special,darebin
Government,Latrobe Special Developmental School,Special,latrobe
Government,Belvoir Wodonga Special Developmental School,Special,wodonga
Government,Burwood East Special Developmental School,Special,whitehorse
Government,Wangaratta District Specialist School,Special,wangaratta
Government,Meadow Heights Primary School,Primary,hume
Government,Bundarra Primary School,Primary,glenelg
Government,Peninsula Specialist College,Special,mornington peninsula
Government,Chalcot Lodge Primary School,Primary,casey
Government,Rangebank Primary School,Primary,casey
Government,Knox Gardens Primary School,Primary,knox
Government,Southern Cross Primary School,Primary,casey
Government,Kings Park Primary School,Primary,brimbank
Government,Dandenong Valley Special Developmental School,Special,casey
Government,Mornington Special Developmental School,Special,mornington peninsula
Government,Bayside Special Developmental School,Special,kingston
Government,Rolling Hills Primary School,Primary,yarra ranges
Government,Craigieburn South Primary School,Primary,hume
Government,Findon Primary School,Primary,whittlesea
Government,Loch Sport Primary School,Primary,wellington
Government,Mount Evelyn Special Developmental School,Special,yarra ranges
Government,Colac Specialist School,Special,colac-otway
Government,Goonawarra Primary School,Primary,hume
Government,Mildura Specialist School,Special,mildura
Government,Southern Autistic School,Special,glen eira
Government,Bellbridge Primary School,Primary,wyndham
Government,Croydon Hills Primary School,Primary,maroondah
Government,Kurunjang Primary School,Primary,melton
Government,Langwarrin Park Primary School,Primary,frankston
Government,Taylors Lakes Primary School,Primary,brimbank
Government,Glen Katherine Primary School,Primary,banyule
Government,Coburg Special Developmental School,Special,moreland
Government,Broadmeadows Special Developmental School,Special,hume
Government,Sunshine Special Developmental School,Special,brimbank
Government,Swan Hill Specialist School,Special,swan hill
Government,Richmond Primary School,Primary,yarra
Government,Yarra Primary School,Primary,yarra
Government,Skene Street School Stawell,Special,northern grampians
Government,Horsham Special School,Special,horsham
Government,Hampden Specialist School,Special,corangamite
Government,Warrnambool Special Developmental School,Special,warrnambool
Government,Yarraville Special Developmental School,Special,maribyrnong
Government,Clifton Springs Primary School,Primary,greater geelong
Government,Park Ridge Primary School,Primary,knox
Government,Portland Bay School,Special,glenelg
Government,Hamilton Special Developmental School,Special,southern grampians
Government,Merriang Special Developmental School,Special,whittlesea
Government,Orchard Grove Primary School,Primary,whitehorse
Government,Meadowglen Primary School,Primary,whittlesea
Government,Altona Green Primary School,Primary,hobsons bay
Government,Boroondara Park Primary School,Primary,boroondara
Government,Warragul & District Specialist School,Special,baw baw
Government,Western Autistic School,Special,hobsons bay
Government,Warracknabeal Special Developmental School,Special,yarriambiack
Government,Coral Park Primary School,Primary,casey
Government,Maramba Primary School,Primary,casey
Government,Thomas Mitchell Primary School,Primary,casey
Government,Karoo Primary School,Primary,knox
Government,Mackellar Primary School,Primary,brimbank
Government,Bendigo Special Developmental School,Special,greater bendigo
Government,Echuca Specialist School,Special,campaspe
Government,Aspendale Gardens Primary School,Primary,kingston
Government,Berwick Fields Primary School,Primary,casey
Government,Brentwood Park Primary School,Primary,casey
Government,Eastern Ranges School,Special,knox
Government,Cambridge Primary School,Primary,wyndham
Government,Rowellyn Park Primary School,Primary,frankston
Government,Baden Powell P-9 College,Pri/Sec,wyndham
Government,Woodlands Primary School,Primary,frankston
Government,Mill Park Heights Primary School,Primary,whittlesea
Government,Monmia Primary School,Primary,brimbank
Government,Seabrook Primary School,Primary,hobsons bay
Government,Willmott Park Primary School,Primary,hume
Government,Thomas Chirnside Primary School,Primary,wyndham
Government,Heany Park Primary School,Primary,knox
Government,Ranfurly Primary School,Primary,mildura
Government,Kilberry Valley Primary School,Primary,casey
Government,Killara Primary School,Primary,hume
Government,Surfside Primary School,Primary,greater geelong
Government,Oatlands Primary School,Primary,casey
Government,Westgrove Primary School,Primary,wyndham
Government,Peranbin Primary College,Primary,strathbogie
Government,Barwon Valley School,Special,greater geelong
Government,Pentland Primary School,Primary,moorabool
Government,Pakenham Hills Primary School,Primary,cardinia
Government,Courtenay Gardens Primary School,Primary,casey
Government,Somerville Rise Primary School,Primary,mornington peninsula
Government,Derrinallum P-12 College,Pri/Sec,corangamite
Government,Mortlake P-12 College,Pri/Sec,moyne
Government,Branxholme-Wallacedale Community School,Primary,southern grampians
Government,Mount Duneed Regional Primary School,Primary,greater geelong
Government,Grasmere Primary School,Primary,moyne
Government,Narrawong District Primary School,Primary,glenelg
Government,Canadian Lead Primary School,Primary,ballarat
Government,Caledonian Primary School,Primary,ballarat
Government,Tempy Primary School,Primary,yarriambiack
Government,Rawson Primary School,Primary,baw baw
Government,Bundalaguah Primary School,Primary,wellington
Government,Lardner and District Primary School,Primary,baw baw
Government,Neerim District Rural Primary School,Primary,baw baw
Government,Nambrok Denison Primary School,Primary,wellington
Government,Welshpool and District Primary School,Primary,south gippsland
Government,Whitfield District Primary School,Primary,wangaratta
Government,Greta Valley Primary School,Primary,wangaratta
Government,Everton Primary School,Primary,wangaratta
Government,Waaia Yalca South Primary School,Primary,moira
Government,Nangiloc Colignan and District Primary School,Primary,mildura
Government,Tyrrell College,Pri/Sec,buloke
Government,Harcourt Valley Primary School,Primary,mount alexander
Government,Beverford District Primary School,Primary,swan hill
Government,Niddrie Primary School,Primary,moonee valley
Government,Toolern Vale and District Primary School,Primary,melton
Government,Parkhill Primary School,Primary,monash
Government,Kananook Primary School,Primary,frankston
Government,Roberts McCubbin Primary School,Primary,whitehorse
Government,Tarwin Valley Primary School,Primary,south gippsland
Government,Bayles Regional Primary School,Primary,cardinia
Government,Le Page Primary School,Primary,kingston
Government,Powlett River Primary School,Primary,bass coast
Government,Glen Waverley Primary School,Primary,monash
Government,Carrington Primary School,Primary,knox
Government,Albany Rise Primary School,Primary,monash
Government,Amsleigh Park Primary School,Primary,monash
Government,Knox Central Primary School,Primary,knox
Government,Mount Waverley North Primary School,Primary,monash
Government,Rangeview Primary School,Primary,whitehorse
Government,Edenhope College,Pri/Sec,west wimmera
Government,Murrayville Community College,Pri/Sec,mildura
Government,Hawkesdale P12 College,Pri/Sec,moyne
Government,Carwatha College P-12,Pri/Sec,greater dandenong
Government,Glen Waverley South Primary School,Primary,monash
Government,Streeton Primary School,Primary,banyule
Government,Woorinen District Primary School,Primary,swan hill
Government,Woady Yaloak Primary School,Primary,golden plains
Government,Millwarra Primary School,Primary,yarra ranges
Government,Gormandale And District Primary School,Primary,wellington
Government,Roxburgh Homestead Primary School,Primary,hume
Government,Newcomb Park Primary School,Primary,greater geelong
Government,Dinjerra Primary School,Primary,maribyrnong
Government,Belle Vue Park Primary School,Primary,moreland
Government,Doncaster Gardens Primary School,Primary,manningham
Government,Nyah District Primary School,Primary,swan hill
Government,Strathaird Primary School,Primary,casey
Government,Marnebek School Cranbourne,Special,casey
Government,Great Ryrie Primary School,Primary,maroondah
Government,Timbarra P-9 College,Pri/Sec,casey
Government,Parkwood Green Primary School,Primary,melton
Government,Hillsmeade Primary School,Primary,casey
Government,Roxburgh Park Primary School,Primary,hume
Government,Carranballac P-9 College,Pri/Sec,wyndham
Government,Benton Junior College,Primary,mornington peninsula
Government,Caulfield Primary School,Primary,glen eira
Government,East Gippsland Specialist School,Special,east gippsland
Government,Roxburgh Rise Primary School,Primary,hume
Government,Lynbrook Primary School,Primary,casey
Government,South Gippsland Specialist School,Special,south gippsland
Government,Laurimar Primary School,Primary,whittlesea
Government,Truganina South Primary School,Primary,wyndham
Government,Kororoit Creek Primary School,Primary,melton
Government,Berwick Chase Primary School,Primary,casey
Government,Pakenham Lakeside Primary School,Primary,cardinia
Government,Pakenham Springs Primary School,Primary,cardinia
Government,Taylors Hill Primary School,Primary,melton
Government,Cranbourne Carlisle Primary School,Primary,casey
Government,Aurora School,Special,whitehorse
Government,Derrimut Primary School,Primary,brimbank
Government,Epping Views Primary School,Primary,whittlesea
Government,Cranbourne East Primary School,Primary,casey
Government,Yuille Park P-8 Community College,Pri/Sec,ballarat
Government,Lyndhurst Primary School,Primary,casey
Government,Aitken Creek Primary School,Primary,hume
Government,Reservoir Views Primary School,Primary,darebin
Government,Meadows Primary School,Primary,hume
Government,Sunshine Harvester Primary School,Primary,brimbank
Government,Alamanda K-9 College,Pri/Sec,wyndham
Government,Alvie Consolidated School,Primary,colac-otway
Government,Apollo Bay P-12 College,Pri/Sec,colac-otway
Government,Boisdale Consolidated School,Primary,wellington
Government,Cobram Primary School,Primary,moira
Government,Cohuna Consolidated School,Primary,gannawarra
Government,Collingwood College,Pri/Sec,yarra
Government,Dunkeld Consolidated School,Primary,southern grampians
Government,East Loddon P-12 College,Pri/Sec,loddon
Government,Foster Primary School,Primary,south gippsland
Government,Goroke P-12 College,Pri/Sec,west wimmera
Government,Heywood Consolidated School,Primary,glenelg
Government,Kiewa Valley Primary School,Primary,indigo
Government,Lavers Hill P-12 College,Pri/Sec,colac-otway
Government,Lockington Consolidated School,Primary,campaspe
Government,Manangatang P-12 College,Pri/Sec,swan hill
Government,Terang College,Pri/Sec,corangamite
Government,Merino Consolidated School,Primary,glenelg
Government,Rushworth P-12 College,Pri/Sec,campaspe
Government,Macleod College,Pri/Sec,banyule
Government,Pakenham Consolidated School,Primary,cardinia
Government,Poowong Consolidated School,Primary,south gippsland
Government,Port Fairy Consolidated School,Primary,moyne
Government,Red Hill Consolidated School,Primary,mornington peninsula
Government,Sherbrooke Community School,Pri/Sec,yarra ranges
Government,Tongala Primary School,Primary,campaspe
