Education_Sector,School_Name,School_Type,Local_Government_Area
Government,Axedale Primary School,Primary,greater bendigo
Government,Vermont Primary School,Primary,whitehorse
Government,Tarnagulla Primary School,Primary,loddon
Government,Balwyn Primary School,Primary,boroondara
Government,Scoresby Primary School,Primary,knox
Government,Carisbrook Primary School,Primary,central goldfields
Government,Wandin Yallock Primary School,Primary,yarra ranges
Government,Yering Primary School,Primary,yarra ranges
Government,Dartmoor Primary School,Primary,glenelg
Government,Mickleham Primary School,Primary,hume
Government,Inglewood Primary School,Primary,loddon
Government,Chewton Primary School,Primary,mount alexander
Government,Bolinda Primary School,Primary,macedon ranges
Government,Napoleons Primary School,Primary,golden plains
Government,Kew Primary School,Primary,boroondara
Government,Haddon Primary School,Primary,golden plains
Government,Panmure Primary School,Primary,moyne
Government,Dargo Primary School,Primary,wellington
Government,Sorrento Primary School,Primary,mornington peninsula
Government,Alfredton Primary School,Primary,ballarat
Government,Bridgewater Primary School,Primary,loddon
Government,Hastings Primary School,Primary,mornington peninsula
Government,Yackandandah Primary School,Primary,indigo
Government,Nagambie Primary School,Primary,strathbogie
Government,Heyfield Primary School,Primary,wellington
Government,Moorabbin Primary School,Primary,kingston
Government,Mansfield Primary School,Primary,mansfield
Government,Middle Indigo Primary School,Primary,indigo
Government,Briagolong Primary School,Primary,wellington
Government,Lindenow Primary School,Primary,east gippsland
Government,Broadford Primary School,Primary,mitchell
Government,Murchison Primary School,Primary,greater shepparton
Government,Panton Hill Primary School,Primary,nillumbik
Government,Glen Park Primary School,Primary,moorabool
Government,Concongella Primary School,Primary,northern grampians
Government,Bruthen Primary School,Primary,east gippsland
Government,Swan Hill Primary School,Primary,swan hill
Government,Porepunkah Primary School,Primary,alpine
Government,Leopold Primary School,Primary,greater geelong
Government,Inverleigh Primary School,Primary,golden plains
Government,Glen Iris Primary School,Primary,boroondara
Government,Trawalla Primary School,Primary,pyrenees
Government,Quarry Hill Primary School,Primary,greater bendigo
Government,Sebastopol Primary School,Primary,ballarat
Government,Woodside Primary School,Primary,wellington
Government,Noorat Primary School,Primary,corangamite
Government,Albert Park Primary School,Primary,port phillip
Government,Williamstown Primary School,Primary,hobsons bay
Government,Boneo Primary School,Primary,mornington peninsula
Government,Queenscliff Primary School,Primary,queenscliffe
Government,Portland North Primary School,Primary,glenelg
Government,Timor Primary School,Primary,central goldfields
Government,Apsley Primary School,Primary,west wimmera
Government,Strathfieldsaye Primary School,Primary,greater bendigo
Government,Skye Primary School,Primary,frankston
Government,Tooborac Primary School,Primary,mitchell
Government,Lucknow Primary School,Primary,east gippsland
Government,Upper Plenty Primary School,Primary,mitchell
Government,Carlton North Primary School,Primary,yarra
Government,Maldon Primary School,Primary,mount alexander
Government,Woori Yallock Primary School,Primary,yarra ranges
Government,Moyston Primary School,Primary,ararat
Government,Buninyong Primary School,Primary,ballarat
Government,Marysville Primary School,Primary,murrindindi
Government,Langley Primary School,Primary,mount alexander
Government,Wandong Primary School,Primary,mitchell
Government,Cowes Primary School,Primary,bass coast
Government,Bullarto Primary School,Primary,hepburn
Government,Lismore Primary School,Primary,corangamite
Government,Lower Plenty Primary School,Primary,banyule
Government,Specimen Hill Primary School,Primary,greater bendigo
Government,Bolwarra Primary School,Primary,glenelg
Government,Navarre Primary School,Primary,northern grampians
Government,Warracknabeal Primary School,Primary,yarriambiack
Government,Moyhu Primary School,Primary,wangaratta
Government,Natte Yallock Primary School,Primary,pyrenees
Government,Clifton Hill Primary School,Primary,yarra
Government,Christmas Hills Primary School,Primary,nillumbik
Government,Tallangatta Primary School,Primary,towong
Government,Kialla Central Primary School,Primary,greater shepparton
Government,Mount Eliza Primary School,Primary,mornington peninsula
Government,San Remo Primary School,Primary,bass coast
Government,Dimboola Primary School,Primary,hindmarsh
Government,Whorouly Primary School,Primary,wangaratta
Government,Merrijig Primary School,Primary,mansfield
Government,Lethbridge Primary School,Primary,golden plains
Government,Oxley Primary School,Primary,wangaratta
Government,Northcote Primary School,Primary,darebin
Government,North Melbourne Primary School,Primary,melbourne
Government,Dandenong Primary School,Primary,greater dandenong
Government,Malmsbury Primary School,Primary,macedon ranges
Government,Williamstown North Primary School,Primary,hobsons bay
Government,Kerang Primary School,Primary,gannawarra
Government,Drouin West Primary School,Primary,baw baw
Government,Meredith Primary School,Primary,golden plains
Government,Edi Upper Primary School,Primary,wangaratta
Government,Eaglehawk North Primary School,Primary,greater bendigo
Government,Mooroopna Primary School,Primary,greater shepparton
Government,Cairnlea Park Primary School,Primary,brimbank
Government,Ballan Primary School,Primary,moorabool
Government,Mount Pleasant Primary School,Primary,ballarat
Government,Tatura Primary School,Primary,greater shepparton
Government,Toolamba Primary School,Primary,greater shepparton
Government,Harston Primary School,Primary,greater shepparton
Government,Osbornes Flat Primary School,Primary,indigo
Government,Frankston Primary School,Primary,frankston
Government,Donald Primary School,Primary,buloke
Government,Drummartin Primary School,Primary,greater bendigo
Government,Beveridge Primary School,Primary,mitchell
Government,St Kilda Primary School,Primary,port phillip
